Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.901249585314608,0.9055740146044154,0.6444833625218914,0.34782608695652173,0.4518109269490485,0.42605817794513523
Decision Tree,0.8745991374543846,0.7014571863832587,0.46487985212569316,0.47542533081285443,0.4700934579439252,0.39902087033749317
KNN,0.8961627778392126,0.8277209275898927,0.5990016638935108,0.34026465028355385,0.43399638336347196,0.40012752249162636
Naive Bayes,0.8564635629768882,0.8210399224443753,0.41561181434599154,0.558601134215501,0.47661290322580646,0.40131743338850895
Random Forest,0.90755280327325,0.9290726468461068,0.6718266253869969,0.4102079395085066,0.5093896713615024,0.47879146124423283
